"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"1","Adrián Luna","Right Winger",19,"11/12","Primera División","Defensor","LaLiga","Espanyol","1,00 Mill. €",275000,"Yes","No",1e+06,"Yes",0
"2","Adrián Ramos","Centre-Forward",23,"09/10","Liga Águila II","CD América","Bundesliga","Hertha BSC","2,00 Mill. €",1e+06,"Yes","No",6500000,"No",NA
"3","Albano Bizzarri","Goalkeeper",35,"13/14","Serie A","Lazio","Serie A","Genoa","300 Th. €",NA,NA,NA,NA,NA,NA
"4","Alejandro Alonso","Right Midfield",28,"10/11","Ligue 1","Monaco","Ligue 1","Saint-Étienne","200 Th. €",NA,NA,NA,NA,NA,NA
"5","Alejandro González","Centre-Back",25,"13/14","Primera División","Peñarol","Serie A","Hellas Verona","2,40 Mill. €",850000,"Yes","No",2e+06,"No",NA
"6","Alexis Rolín","Centre-Back",23,"12/13","Primera División","Nacional","Serie A","Catania","3,80 Mill. €",9e+05,"Yes","No",3500000,"Yes",1e+06
"7","Alexis Zapata","Attacking Midfield",18,"13/14","Liga Águila II","Envigado","LaLiga","Granada CF","1,18 Mill. €",NA,"Yes","No",7e+05,"Yes",NA
"8","Allan","Central Midfield",21,"12/13","Segunda División","Maldonado","LaLiga","Granada CF","3,00 Mill. €",3e+06,"Yes","Yes",11500000,"Yes",3e+06
"9","Álvaro González","Central Midfield",25,"10/11","Primera División","Nacional","Serie A","Lazio","2,00 Mill. €",8e+05,"Yes","No",7500000,"No",NA
"10","André Dias","Centre-Back",30,"09/10","Série A","São Paulo","Serie A","Lazio","2,50 Mill. €",NA,NA,NA,NA,NA,NA
"11","Ángelo Henríquez","Centre-Forward",18,"12/13","Primera División","U. de Chile","Premier League","Man Utd","5,50 Mill. €",150000,"Yes","No",5500000,"Yes",1670000
"12","Anselmo","Defensive Midfield",23,"12/13","Série A","Palmeiras","Serie A","Genoa","900 Th. €",9e+05,"Yes","Yes",1250000,"Yes",0
"13","Augusto Fernández","Central Midfield",26,"12/13","Torneo Final","Vélez Sarsfield","LaLiga","Celta de Vigo","1,50 Mill. €",2500000,"No","No",8e+06,"Yes",4e+06
"14","Bamba Anderson","Centre-Back",22,"10/11","Brazil","Tombense","Bundesliga","Bor. M'gladbach","1,50 Mill. €",2e+06,"No","Yes",3e+06,"Yes",8e+05
"15","Braian Rodríguez","Centre-Forward",26,"13/14","Primera División","Huachipato FC","LaLiga","Real Betis","1,00 Mill. €",6e+05,"Yes","No",1e+06,"Yes",0
"16","Brayan Perea","Centre-Forward",20,"13/14","Liga Águila II","Deportivo Cali","Serie A","Lazio","2,30 Mill. €",2e+06,"Yes","No",2800000,"No",NA
"17","Bruno Nazário","Left Winger",18,"13/14","Brazil","Tombense","Bundesliga","TSG Hoffenheim","1,50 Mill. €",NA,"Yes","Yes",6e+05,"No",NA
"18","Bruno Uvini","Centre-Back",21,"12/13","Série A","São Paulo","Serie A","SSC Napoli","3,00 Mill. €",1e+06,"No","Yes",3e+06,"Yes",NA
"19","Carlinhos","Attacking Midfield",18,"12/13","Brazil","Desp. Brasil","Bundesliga","Bay. Leverkusen","Loan fee:100 Th. €",NA,NA,NA,NA,NA,NA
"20","Carlos Labrín","Centre-Back",20,"11/12","Primera División","Huachipato FC","Serie A","Palermo","1,35 Mill. €",4e+05,"Yes","No",750000,"Yes",0
"21","Casemiro","Defensive Midfield",21,"13/14","Série A","São Paulo","LaLiga","Real Madrid","6,00 Mill. €",6e+06,"No","Yes",3e+07,"No",NA
"22","Charles Aránguiz","Central Midfield",24,"13/14","Primera División","U. de Chile","Serie A","Udinese Calcio","4,00 Mill. €",2200000,"Yes","No",9500000,"Yes",8e+06
"23","Cícero","Central Midfield",25,"10/11","Brazil","Tombense","Bundesliga","VfL Wolfsburg","Loan fee:800 Th. €",NA,NA,NA,NA,NA,NA
"24","Cicinho","Right-Back",26,"12/13","Série A","Palmeiras","LaLiga","Sevilla FC","2,00 Mill. €",2e+06,"Yes","No",4e+06,"Yes",0
