Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
289214,51,ABIARU,3696,LAGUNA JULIAN,3990,LLUPES JOSE,,S/N(ESQ),I,1,,,1,96,4,3,2,N,N,40,1,Juglans nigra
289213,51,ABIARU,3696,LAGUNA JULIAN,3990,LLUPES JOSE,,S/N,I,1,,,1,90,4,3,3,S,N,51,1,Melia azedarach
250085,126,AGRACIADA AVENIDA,6835,TERRA AV  COSTANERA ARQ. JUAN PABLO,6825,TEMBETA,3845,,I,1,,,800,50,2,2,2,N,N,78,1,Washingtonia filifera
208687,126,AGRACIADA AVENIDA,612,ARTIGAS JUAN ANTONIO,6213,SAGASTA MARIANO,4134,,P,1,1,,2,120,6,5,2,N,N,39,1,Jacaranda ovalifolia
250146,126,AGRACIADA AVENIDA,6129,ROMERO EMILIO,6213,SAGASTA MARIANO,4139,,I,1,,,4,105,8,10,3,S,S,35,3,Fraxinus lanceolata
250147,126,AGRACIADA AVENIDA,6129,ROMERO EMILIO,6213,SAGASTA MARIANO,4139,BIS,I,1,,,4,148,9,12,3,S,S,39,1,Jacaranda ovalifolia
208688,126,AGRACIADA AVENIDA,612,ARTIGAS JUAN ANTONIO,6213,SAGASTA MARIANO,4142,,P,1,1,,2,120,7,6,2,N,N,39,1,Jacaranda ovalifolia
250149,126,AGRACIADA AVENIDA,6129,ROMERO EMILIO,6213,SAGASTA MARIANO,4143,,I,1,,,4,148,8,10,3,S,S,39,1,Jacaranda ovalifolia
250150,126,AGRACIADA AVENIDA,6129,ROMERO EMILIO,6213,SAGASTA MARIANO,4143,BIS,I,1,,,4,156,9,11,3,S,S,39,1,Jacaranda ovalifolia
208689,126,AGRACIADA AVENIDA,612,ARTIGAS JUAN ANTONIO,6213,SAGASTA MARIANO,4148,,P,1,1,,2,110,6,5,2,N,N,39,1,Jacaranda ovalifolia
208686,126,AGRACIADA AVENIDA,6213,SAGASTA MARIANO,267,ALVAREZ JULIAN,4196,,P,1,1,,4,100,8,6,3,N,N,39,1,Jacaranda ovalifolia
208681,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,2811,FREIRE JOSE B.,4202,,P,1,1,,4,100,5,4,3,N,N,39,1,Jacaranda ovalifolia
208683,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,2811,FREIRE JOSE B.,4244,,P,1,1,,4,90,6,5,3,N,N,51,1,Melia azedarach
265052,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,2811,FREIRE JOSE B.,4244,,P,1,,,9,100,6,5,2,N,N,51,1,Melia azedarach
208696,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,5859,RAMIREZ AVENIDA DR. CARLOS MARIA,4279,,I,1,1,,4,147,8,10,3,S,S,39,1,Jacaranda ovalifolia
208690,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4282,,P,,1,,2,91,9,,2,N,N,39,1,Jacaranda ovalifolia
250043,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4282,,P,1,,,2,143,9,12,3,S,S,39,1,Jacaranda ovalifolia
250044,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4286,,P,1,,,2,95,5,7,2,S,S,33,2,Ficus elastica
208692,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4290,,P,,1,,2,128,9,,2,N,N,39,1,Jacaranda ovalifolia
208698,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,5859,RAMIREZ AVENIDA DR. CARLOS MARIA,4291,,I,1,1,,4,133,8,10,4,S,S,39,1,Jacaranda ovalifolia
208699,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,5859,RAMIREZ AVENIDA DR. CARLOS MARIA,4293,,I,1,1,,4,150,9,11,4,S,S,39,1,Jacaranda ovalifolia
250045,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4296,,P,1,,,2,157,9,12,3,S,S,39,1,Jacaranda ovalifolia
208693,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,4298,,P,,1,,2,68,8,,2,N,N,35,3,Fraxinus lanceolata
208700,126,AGRACIADA AVENIDA,267,ALVAREZ JULIAN,5859,RAMIREZ AVENIDA DR. CARLOS MARIA,4299,,I,1,1,,4,145,8,11,3,S,S,39,1,Jacaranda ovalifolia
208684,126,AGRACIADA AVENIDA,6213,SAGASTA MARIANO,267,ALVAREZ JULIAN,,S/N,P,1,2,,3,90,6,5,2,N,N,39,1,Jacaranda ovalifolia
208685,126,AGRACIADA AVENIDA,6213,SAGASTA MARIANO,267,ALVAREZ JULIAN,,S/N,P,1,1,,5,130,7,6,2,N,N,39,1,Jacaranda ovalifolia
250148,126,AGRACIADA AVENIDA,6129,ROMERO EMILIO,6213,SAGASTA MARIANO,,S/N,I,1,,,4,132,8,9,3,S,S,39,1,Jacaranda ovalifolia
250080,126,AGRACIADA AVENIDA,6825,TEMBETA,6270,SALVO ANGEL,,S/N,I,1,,,4,173,9,10,1,S,S,11,4,Acer saccharinum
250046,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,,S/N,P,1,,,2,125,8,10,3,S,S,35,3,Fraxinus lanceolata
208691,126,AGRACIADA AVENIDA,2811,FREIRE JOSE B.,6324,SAN QUINTIN,,S/N,P,,1,,2,47,4,,2,N,N,33,2,Ficus elastica
250086,126,AGRACIADA AVENIDA,6835,TERRA AV  COSTANERA ARQ. JUAN PABLO,6825,TEMBETA,,S/N,I,1,,,999,50,3,2,2,N,N,78,1,Washingtonia filifera
208702,156,AGUIAR JUAN JOSE,1743,CASTRO CAMINO,4632,MUÑOZ MARCOS,3923,BIS,I,,1,,1,163,15,,2,N,N,63,1,Platanus x acerifolia
208701,156,AGUIAR JUAN JOSE,1743,CASTRO CAMINO,4632,MUÑOZ MARCOS,3923,,I,,1,,1,92,8,,5,N,N,888,888,Seco
208703,156,AGUIAR JUAN JOSE,1743,CASTRO CAMINO,4632,MUÑOZ MARCOS,3931,,I,,1,,1,152,11,,3,N,N,63,1,Platanus x acerifolia
223716,183,ALAGOAS,4629,MUÑOZ GRAL. AGUSTIN,3012,GIRALT PEDRO,0,S/N,I,1,1,,3,25,3,2,7,S,N,61,1,Phytolacca dioica
288778,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,0,S/N,I,1,,,2,148,5,6,4,S,S,53,1,Myoporum laetum
288777,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,0,S/N,I,1,,,1,189,8,12,2,S,S,70,3,Salix elegantissima
288779,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,0,S/N,I,1,,,2,152,7,9,4,S,S,70,3,Salix elegantissima
223710,183,ALAGOAS,4629,MUÑOZ GRAL. AGUSTIN,3012,GIRALT PEDRO,717,,I,1,2,,2,224,16,16,2,S,S,31,6,Eucalyptus globulus ssp globulus
223709,183,ALAGOAS,4629,MUÑOZ GRAL. AGUSTIN,3012,GIRALT PEDRO,717,,I,1,1,,2,273,16,16,2,S,S,31,6,Eucalyptus globulus ssp globulus
223711,183,ALAGOAS,4629,MUÑOZ GRAL. AGUSTIN,3012,GIRALT PEDRO,717,,I,1,3,,2,26,3,2,3,N,N,21,1,Catalpa bignonioides
288773,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,735,,I,1,,,3,19,3,2,2,N,N,70,3,Salix elegantissima
288774,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,735,,I,1,,,3,108,7,5,2,S,N,70,3,Salix elegantissima
208708,183,ALAGOAS,6822,TELLIER CARLOS,4629,MUÑOZ GRAL. AGUSTIN,736,,P,,1,,2,130,9,,2,N,N,70,1,Salix alba
