Arbol,Cod_calle,Calle,Cod_Entre,Entre,Cod_Y,Y, Numero,Ajuste,Acera,Alineacion,Ordinal,Ancho Vereda,Distancia,CAP,Altura,Diametro Copa,EV,Int.Aerea,Int.Sub,Genero,Especie,Nombre científico
136272,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1360,,P,1,5,,3,302,12,7,2,S,N,31,7,Eucalyptus robusta,
136273,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1360,,P,1,4,,3,181,14,5,3,S,S,31,7,Eucalyptus robusta,
136274,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1360,,P,1,3,,3,191,10,3,3,N,S,31,7,Eucalyptus robusta,
136276,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1360,,P,1,1,,3,194,8,4,3,N,S,51,1,Melia azedarach,
136277,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1370,,P,1,2,,3,235,15,5,2,S,N,31,7,Eucalyptus robusta,
136279,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1370,,P,1,1,,3,246,16,7,2,S,S,31,7,Eucalyptus robusta,
136280,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1378,,P,1,1,,3,333,17,8,3,S,S,31,7,Eucalyptus robusta,
136284,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1380,,P,1,1,,3,12,2,1,1,N,N,38,1,Grevillea robusta,
136286,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,0,S/N,P,1,4,,3,194,16,7,3,S,S,31,7,Eucalyptus robusta,
136287,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1386,,P,1,3,,3,180,16,5,2,S,S,31,7,Eucalyptus robusta,
136288,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1386,,P,1,2,,3,201,8,4,2,N,S,31,7,Eucalyptus robusta,
136289,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1386,,P,1,1,,3,204,.5,.1,7,N,N,31,7,Eucalyptus robusta,
136290,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1392,,P,1,2,,3,230,17,5,2,N,S,31,7,Eucalyptus robusta,
136293,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1406,,P,1,1,,3,258,16,7,2,S,S,31,7,Eucalyptus robusta,
136294,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1412,,P,1,3,,3,151,12,5,3,S,S,31,7,Eucalyptus robusta,
136295,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,1412,,P,1,2,,3,274,10,5,2,N,S,31,7,Eucalyptus robusta,
136297,7653,6 DE ABRIL,3189,GUARAMBARE,1059,BOLIVIA AVENIDA,0,S/N,P,1,1,,3,250,4,.2,7,N,S,31,7,Eucalyptus robusta,
