Codigo Género,Código especie ,Nombre Científico,Nombre común,porte
111,1,Abelia grandiflora,Abelia,Ao
143,2,Abies nordmanniana,Abeto nordmaniana,Al
143,1,Abies pinsapo,Abeto pinsapo,Al
259,1,Abutilon molle,Farolito chino,Ao
10,6,Acacia baileyana,A. baileyana,Al
10,9,Acacia bonariensis,Uña de Gato,Ao
10,1,Acacia caven,Espinillo,Al
10,2,Acacia dealbata,Acacia Aroma,Al
10,8,Acacia horrida,Falso Espinillo,Al
10,3,Acacia longifolia,Acacia trinervis,Al
10,7,Acacia mearnsii,A. mearnsii,Al
10,4,Acacia melanoxylon,Acacia negra,Al
10,5,Acacia podalyriifolia,A. podalyriifolia,Al
10,10,Acacia retinodes,Acacia semperflorens,Al
10,12,Acacia saligna,Acacia azul,Al
10,88,Acacia sp.,Acacia,Al
10,11,Acacia verticillata,A. verticillata,Ao
10,13,Acacia visco,A. visco,Al
161,1,Acanthosyris spinescens,Quebracho flojo,Al
228,1,Acanthus mollis,Acanto,He
11,1,Acer campestre,Arce campestre,Al
11,2,Acer negundo,Arce negundo,Al
11,3,Acer negundo var argenteo variegatum,Acer neg. var. argen,Al
11,8,Acer negundo var.aureo marginatum,Arce neg.bordes amar,Al
11,7,Acer palmatum,Arce japonés,Al
11,5,Acer platanoides,A. platanoides,Al
11,6,Acer pseudoplatanus,Falso plátano,Al
11,4,Acer saccharinum,Arce blanco,Al
11,88,Acer sp,Arce,Al
270,1,Acnistus parviflorus,Acnitus,Ao
154,2,Acokanthera oblongifolia,Acokanthera oblong.,Ao
154,1,Acokanthera spectabilis,Acokanthera spectab.,Ao
262,1,Adhatoda vasica,Adhatoda vasica,Ao
213,88,Aechmea sp.,Acmea sp.,He
12,1,Aesculus carnea,Castaño de la India,Al
12,2,Aesculus hippocastanum,Castaño de la India,Al
227,1,Agapanthus africanus,Agapanto,He
13,1,Agathis robusta,Damara,Al
115,1,Agave americana,Pita (Agave),He
115,2,Agave americana var. marginata,Pita de bordes amar.,He
14,1,Ailanthus altissima,Arbol del Cielo,Al
101,1,Albizzia julibrissin,Acacia Constantinopla,Al
