FID,COD_NOMBRE,COD_NOM_01,NOM_CALLE_,NOM_CAL_01,GID,COD_DEPTO,x,y
1,5934,5862,DR JOAQUIN REQUENA,AV GONZALO RAMIREZ,46346014,1,-56.1680761642006,-34.91148887766
2,2076,5016,DIVINA COMEDIA,DR GABRIEL OTERO,46345012,1,-56.0581234759272,-34.8899491691983
3,5862,5934,AV GONZALO RAMIREZ,DR JOAQUIN REQUENA,46346015,1,-56.1680790204982,-34.9114388962987
4,2076,7224,DIVINA COMEDIA,AV PEDRO BLANES VIALE,46345013,1,-56.0581234759272,-34.8899491691983
5,2076,4356,DIVINA COMEDIA,RBLA REPUBLICA DE MEXICO,46345014,1,-56.0569389081258,-34.8922189828099
6,5862,6249,AV GONZALO RAMIREZ,DR JOAQUIN DE SALTERAIN,46346016,1,-56.1692276663191,-34.9115132214074
7,2076,6210,DIVINA COMEDIA,CARLOS F SAEZ,46345015,1,-56.0581234759271,-34.8899491691983
8,6249,5862,DR JOAQUIN DE SALTERAIN,AV GONZALO RAMIREZ,46346017,1,-56.1692276663191,-34.9115132214074
9,5016,2076,DR GABRIEL OTERO,DIVINA COMEDIA,46345016,1,-56.0581234759272,-34.8899491691983
10,6249,6333,DR JOAQUIN DE SALTERAIN,SAN SALVADOR,46346018,1,-56.1693180050698,-34.9108500894387
11,5016,7224,DR GABRIEL OTERO,AV PEDRO BLANES VIALE,46345017,1,-56.0581234759272,-34.8899491691983
12,5016,6381,DR GABRIEL OTERO,PUNTAS DE SANTIAGO,46345018,1,-56.0587865892733,-34.8912015253483
13,5862,4568,AV GONZALO RAMIREZ,DR CARLOS MARIA MORALES,46346019,1,-56.1835969915461,-34.912619439925
14,5016,6210,DR GABRIEL OTERO,CARLOS F SAEZ,46345019,1,-56.0581234759272,-34.8899491691983
15,5016,1488,DR GABRIEL OTERO,CAMBARA,46345020,1,-56.0574676647121,-34.8890810657161
16,5862,6249,AV GONZALO RAMIREZ,DR JOAQUIN DE SALTERAIN,46346020,1,-56.1692209608574,-34.9115624424126
17,7224,2076,AV PEDRO BLANES VIALE,DIVINA COMEDIA,46345021,1,-56.0581234759272,-34.8899491691983
18,7224,5016,AV PEDRO BLANES VIALE,DR GABRIEL OTERO,46345022,1,-56.0581234759272,-34.8899491691983
19,5862,5934,AV GONZALO RAMIREZ,DR JOAQUIN REQUENA,46346021,1,-56.1680761642006,-34.91148887766
